Model,Precision,Recall,F1,AUC-PR
XGBoost + SMOTE,0.9021739130434783,0.8469387755102041,0.8736842105263158,0.879976097721391
XGBoost + scale_pos_weight,0.9101123595505618,0.826530612244898,0.8663101604278075,0.8888909148075554
