Model,Precision,Recall,F1,AUC-PR
XGBoost,0.8484848484848485,0.8571428571428571,0.8527918781725888,0.8701149374251759
Isolation Forest,0.14285714285714285,0.05102040816326531,0.07518796992481203,0.1253638141654782
Ensemble,0.8901098901098901,0.826530612244898,0.8571428571428571,0.8361956342461104
